rank,team,MP-T,W-T,D-T,L-T,GF-T,GA-T,MP-H,W-H,D-H,L-H,GF-H,GA-H,MP-A,W-A,D-A,L-A,GF-A,GA-A,GD,P
1,PSV,31,27,3,1,103,17,15,14,1,0,47,8,16,13,2,1,56,9,+86,84
2,Feyenoord,31,23,6,2,80,24,15,11,3,1,42,10,16,12,3,1,38,14,+56,75
3,Twente,31,19,6,6,59,31,16,13,1,2,33,15,15,6,5,4,26,16,+28,63
4,AZ,31,17,7,7,62,35,15,10,2,3,36,14,16,7,5,4,26,21,+27,58
5,Ajax,31,13,10,8,65,58,16,8,6,2,36,21,15,5,4,6,29,37,+7,49
6,NEC,31,12,11,8,59,47,16,8,4,4,33,22,15,4,7,4,26,25,+12,47
7,Utrecht,31,12,10,9,45,43,15,7,5,3,28,22,16,5,5,6,17,21,+2,46
8,Sparta Rotterdam,31,12,7,12,46,43,16,5,5,6,23,24,15,7,2,6,23,19,+3,43
9,Go Ahead Eagles,31,11,9,11,45,42,16,7,4,5,31,20,15,4,5,6,14,22,+3,42
10,Heerenveen,31,10,6,15,50,64,16,6,3,7,29,33,15,4,3,8,21,31,-14,36
11,PEC Zwolle,31,9,8,14,43,59,16,5,3,8,18,29,15,4,5,6,25,30,-16,35
12,Fortuna Sittard,31,9,8,14,36,55,15,7,4,4,26,19,16,2,4,10,10,36,-19,35
13,Almere City,31,7,12,12,31,51,15,3,6,6,16,25,16,4,6,6,15,26,-20,33
14,Heracles,31,9,5,17,41,65,15,6,3,6,25,30,16,3,2,11,16,35,-24,32
15,Excelsior,31,5,11,15,46,66,15,3,7,5,22,24,16,2,4,10,24,42,-20,26
16,RKC Waalwijk,31,6,7,18,31,52,16,4,5,7,19,24,15,2,2,11,12,28,-21,25
17,Volendam,31,4,7,20,30,75,15,3,2,10,14,38,16,1,5,10,16,37,-45,19
18,Vitesse,31,5,5,21,25,70,16,2,5,9,13,28,15,3,0,12,12,42,-45,2
